coverage_regime,protocol,mae,rmse,false_robust_cert,false_failure_alarm,high_order_recall,unsupported_abstention,coverage_recall,query_cost,utility,weight
full pair coverage,additive,0.206772,0.277272,0.388803,0.027562,0.060000,0.000000,0.500000,0.070000,-0.015946,14400
full pair coverage,high_unaware,0.101332,0.135721,0.137579,0.056200,0.421000,0.030000,0.562000,0.345000,0.571293,14400
full pair coverage,isolated,0.226848,0.304033,0.427697,0.025591,0.028000,0.000000,0.268800,0.030000,-0.150605,14400
full pair coverage,oracle,0.012228,0.016284,0.020962,0.029023,0.996000,0.000000,0.980000,0.100000,1.000000,14400
full pair coverage,order_calibrated,0.060894,0.081673,0.047532,0.078149,0.527408,0.160206,0.666000,0.328000,0.864953,14400
full pair coverage,pairwise,0.129809,0.174533,0.217864,0.034287,0.140000,0.010000,0.648400,0.140000,0.420769,14400
singles only,additive,0.210165,0.281792,0.395204,0.027602,0.060000,0.000000,0.460000,0.070000,-0.039615,14400
singles only,high_unaware,0.130961,0.175330,0.196825,0.057070,0.225000,0.030000,0.292400,0.340000,0.190394,14400
singles only,isolated,0.228767,0.306589,0.431278,0.025556,0.028000,0.000000,0.246400,0.030000,-0.163950,14400
singles only,oracle,0.012236,0.016295,0.020957,0.029092,0.996000,0.000000,0.980000,0.100000,1.000000,14400
singles only,order_calibrated,0.091940,0.123173,0.062010,0.102426,0.358108,0.261349,0.323200,0.290000,0.627133,14400
singles only,pairwise,0.157815,0.211843,0.271721,0.034292,0.140000,0.010000,0.314800,0.140000,0.145109,14400
sparse pair coverage,additive,0.208460,0.279522,0.392041,0.027579,0.060000,0.000000,0.480000,0.070000,-0.027954,14400
sparse pair coverage,high_unaware,0.119077,0.159444,0.173163,0.056653,0.303000,0.030000,0.400000,0.342500,0.333076,14400
sparse pair coverage,isolated,0.227763,0.305252,0.429520,0.025601,0.028000,0.000000,0.257600,0.030000,-0.157415,14400
sparse pair coverage,oracle,0.012239,0.016298,0.020950,0.029077,0.996000,0.000000,0.980000,0.100000,1.000000,14400
sparse pair coverage,order_calibrated,0.079071,0.105971,0.054644,0.093484,0.426008,0.224166,0.459600,0.304000,0.750580,14400
sparse pair coverage,pairwise,0.146913,0.197320,0.250767,0.034257,0.140000,0.010000,0.444800,0.140000,0.252484,14400
targeted high-order coverage,additive,0.206749,0.277241,0.388746,0.027601,0.060000,0.000000,0.500000,0.070000,-0.015826,14400
targeted high-order coverage,high_unaware,0.080943,0.108482,0.098139,0.051094,0.581800,0.030000,0.714800,0.374000,0.800119,14400
targeted high-order coverage,isolated,0.226879,0.304073,0.427642,0.025604,0.028000,0.000000,0.268800,0.030000,-0.150680,14400
targeted high-order coverage,oracle,0.012239,0.016299,0.020942,0.029046,0.996000,0.000000,0.980000,0.100000,1.000000,14400
targeted high-order coverage,order_calibrated,0.035009,0.046911,0.017758,0.072075,0.864808,0.134978,0.948400,0.356000,1.000000,14400
targeted high-order coverage,pairwise,0.128294,0.172516,0.214902,0.034286,0.140000,0.010000,0.666800,0.140000,0.435949,14400
unknown sparse coverage,additive,0.218530,0.292937,0.411367,0.027613,0.060000,0.000000,0.360000,0.070000,-0.099041,14400
unknown sparse coverage,high_unaware,0.128871,0.172523,0.192475,0.056923,0.260200,0.030000,0.302000,0.341000,0.210757,14400
unknown sparse coverage,isolated,0.233443,0.312819,0.440280,0.025576,0.028000,0.000000,0.190400,0.030000,-0.197099,14400
unknown sparse coverage,oracle,0.012227,0.016283,0.020947,0.029091,0.996000,0.000000,0.980000,0.100000,1.000000,14400
unknown sparse coverage,order_calibrated,0.092682,0.124163,0.073858,0.096897,0.359808,0.238431,0.314000,0.288000,0.595156,14400
unknown sparse coverage,pairwise,0.157580,0.211532,0.271237,0.034268,0.140000,0.010000,0.318000,0.140000,0.147629,14400
